z_model_m,depth_m,CT_data,SA_data,T_fit,S_fit
5.625,144.375,6.9721,29.8967,6.9839,29.9565
5.375,144.625,6.9721,29.8967,6.9839,29.9565
5.125,144.875,6.9721,29.8967,6.9839,29.9565
4.875,145.125,6.9721,29.8967,6.9839,29.9565
4.625,145.375,6.9721,29.8967,6.9839,29.9565
4.375,145.625,6.9721,29.8967,6.9839,29.9565
4.125,145.875,6.9721,29.8967,6.9839,29.9565
3.875,146.125,6.9721,29.8967,6.9839,29.9565
3.625,146.375,6.9721,29.8967,6.9839,29.9565
3.375,146.625,6.9721,29.8967,6.9839,29.9565
3.125,146.875,6.9721,29.8967,6.9839,29.9565
2.875,147.125,6.9721,29.8967,6.9839,29.9565
2.625,147.375,6.9721,29.8967,6.9839,29.9565
2.375,147.625,6.9721,29.8967,6.9839,29.9565
2.125,147.875,6.9721,29.8967,6.9839,29.9565
1.875,148.125,6.9721,29.8967,6.9839,29.9565
1.625,148.375,6.9721,29.8967,6.9839,29.9565
1.375,148.625,6.9721,29.8967,6.9839,29.9565
1.125,148.875,6.9721,29.8967,6.9839,29.9565
0.875,149.125,6.9721,29.8967,6.9839,29.9565
0.625,149.375,6.9721,29.8967,6.9839,29.9565
0.375,149.625,6.9721,29.8967,6.9839,29.9565
0.125,149.875,6.9721,29.8967,6.9839,29.9565
